BOTTOMLAYER
49,1
(0.142857,(-0.428571 -0.428571 0),7.91226e-11)
(0.142857,(-0.428571 -0.285714 0),5.29588e-11)
(0.142857,(-0.428571 -0.142857 0),4.92975e-11)
(0.142857,(-0.428571 0 0),4.82489e-11)
(0.142857,(-0.428571 0.142857 0),4.92975e-11)
(0.142857,(-0.428571 0.285714 0),5.29588e-11)
(0.142857,(-0.428571 0.428571 0),7.91226e-11)
(0.142857,(-0.285714 -0.428571 0),5.29588e-11)
(0.142857,(-0.285714 -0.285714 0),2.76679e-11)
(0.142857,(-0.285714 -0.142857 0),2.49599e-11)
(0.142857,(-0.285714 0 0),2.41937e-11)
(0.142857,(-0.285714 0.142857 0),2.49599e-11)
(0.142857,(-0.285714 0.285714 0),2.76679e-11)
(0.142857,(-0.285714 0.428571 0),5.29588e-11)
(0.142857,(-0.142857 -0.428571 0),4.92975e-11)
(0.142857,(-0.142857 -0.285714 0),2.49599e-11)
(0.142857,(-0.142857 -0.142857 0),2.2172e-11)
(0.142857,(-0.142857 0 0),2.13885e-11)
(0.142857,(-0.142857 0.142857 0),2.2172e-11)
(0.142857,(-0.142857 0.285714 0),2.49599e-11)
(0.142857,(-0.142857 0.428571 0),4.92975e-11)
(0.142857,(0 -0.428571 0),4.82489e-11)
(0.142857,(0 -0.285714 0),2.41937e-11)
(0.142857,(0 -0.142857 0),2.13885e-11)
(0.142857,(0 0 0),2.06004e-11)
(0.142857,(0 0.142857 0),2.13885e-11)
(0.142857,(0 0.285714 0),2.41937e-11)
(0.142857,(0 0.428571 0),4.82489e-11)
(0.142857,(0.142857 -0.428571 0),4.92975e-11)
(0.142857,(0.142857 -0.285714 0),2.49599e-11)
(0.142857,(0.142857 -0.142857 0),2.2172e-11)
(0.142857,(0.142857 0 0),2.13885e-11)
(0.142857,(0.142857 0.142857 0),2.2172e-11)
(0.142857,(0.142857 0.285714 0),2.49599e-11)
(0.142857,(0.142857 0.428571 0),4.92975e-11)
(0.142857,(0.285714 -0.428571 0),5.29588e-11)
(0.142857,(0.285714 -0.285714 0),2.76679e-11)
(0.142857,(0.285714 -0.142857 0),2.49599e-11)
(0.142857,(0.285714 0 0),2.41937e-11)
(0.142857,(0.285714 0.142857 0),2.49599e-11)
(0.142857,(0.285714 0.285714 0),2.76679e-11)
(0.142857,(0.285714 0.428571 0),5.29588e-11)
(0.142857,(0.428571 -0.428571 0),7.91226e-11)
(0.142857,(0.428571 -0.285714 0),5.29588e-11)
(0.142857,(0.428571 -0.142857 0),4.92975e-11)
(0.142857,(0.428571 0 0),4.82489e-11)
(0.142857,(0.428571 0.142857 0),4.92975e-11)
(0.142857,(0.428571 0.285714 0),5.29588e-11)
(0.142857,(0.428571 0.428571 0),7.91226e-11)
